Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI
52498,51.94016794,9.927704889,7.023642136,3.228172119,11.34947161,10.01513904,10.39603815,3.15829762,53.94147555,52.41072851,53.13204269,53.26008677,53.73996956,53.56230942,53.79153033,53.77689533,54.63879877,54.31673201,55.0652059,54.98263255,55.66133366,55.66133366,26.00115041,631.3047366
52508,52.26497949,9.622464514,6.7106719,3.441575011,11.4894879,10.73296089,10.26781928,3.158055283,53.97758564,52.45626398,53.20408938,53.29576087,53.75379341,53.595275,53.86839487,53.804228,54.67669483,54.36994032,55.15213921,55.02052136,55.82425608,55.82425608,26.06082166,631.3473529
52518,53.09583417,9.887117079,7.079212135,2.894905626,11.5479877,10.24587119,11.44074044,3.157694566,54.01155811,52.48200372,53.2118614,53.33943111,53.79452488,53.64163957,53.90574656,53.82604592,54.68612485,54.38702456,55.12781967,55.04344921,55.80151965,55.80151965,26.09039474,631.453374
52528,53.50932288,9.796219111,6.933611922,3.44902697,11.95617288,10.57323707,10.80105493,3.157378795,54.03347706,52.53640039,53.2484686,53.39063571,53.85899932,53.70544428,53.94815402,53.88286442,54.75934264,54.43347158,55.22779124,55.08875427,55.80115183,55.80115183,26.14608365,631.0895761
52538,53.54901163,10.31722626,7.238866867,3.945368113,11.52444516,10.81429489,9.708810341,3.15714438,54.09402998,52.56692537,53.30724889,53.43454666,53.89569377,53.74079105,54.01343753,53.93711887,54.82549618,54.49288536,55.2433105,55.15084613,55.93878258,55.93878258,26.18517502,630.4461735
52548,53.33782257,10.18840748,7.073173193,3.502944796,10.97995622,10.55287636,11.04046452,3.156827646,54.13445709,52.62006955,53.30351262,53.47048543,53.92396824,53.76861776,54.03743279,53.97304707,54.89493331,54.5193497,55.29855915,55.21892099,55.92632116,55.92632116,26.2962146,631.271475
52558,52.3973933,9.871174023,6.924494048,3.666775089,11.28361064,10.21037792,10.44096158,3.156450955,54.16266702,52.65973836,53.37617444,53.52753052,54.00733799,53.82542773,54.12619971,54.02242127,54.92988136,54.58851303,55.3193271,55.24598895,55.95855117,55.95855117,26.3768014,632.4813629
52568,53.97548344,9.522169102,6.992783051,3.931827492,11.93127197,10.86661503,10.73081679,3.156170507,54.21398688,52.71036788,53.44530623,53.58089596,54.00891066,53.87720787,54.18494902,54.08004851,54.97600405,54.64724693,55.37263845,55.28220527,56.05412053,56.05412053,26.43339142,633.762971
52578,51.99191067,9.55567832,6.475111861,3.472348127,11.61514578,10.24219174,10.63143485,3.15591507,54.26718124,52.75220296,53.51925469,53.61857279,54.10465797,53.93131308,54.22373813,54.13009543,55.04200031,54.69727774,55.47146204,55.3585384,56.07195725,56.07195725,26.46519058,634.8845079
52588,53.85915695,9.897462495,7.126318859,3.794989877,11.81816073,10.22907542,10.99314957,3.155598582,54.30452151,52.799987,53.55725357,53.65390054,54.14425278,53.99184876,54.25747786,54.18319583,55.06290014,54.74428528,55.5982998,55.45479193,56.19763042,56.19763042,26.55034494,634.5311042
52598,51.79017338,10.07631644,6.530757207,3.843462389,11.47591518,10.29078541,9.572936752,3.155287019,54.33590191,52.84010122,53.61652292,53.70961058,54.17586116,54.02391015,54.32509793,54.24023936,55.11474091,54.81863744,55.59007117,55.45960936,56.25213795,56.25213795,26.59778018,633.9240815
52608,52.00226398,9.908890839,6.803730437,3.623582836,11.89511562,10.17080332,9.600140919,3.154956941,54.39954622,52.88828203,53.59944074,53.75211314,54.27620131,54.08373888,54.35835718,54.27057405,55.2006301,54.84356182,55.68673421,55.56122762,56.27591892,56.27591892,26.61374013,633.708921
52618,52.6462613,9.50297776,6.742363546,3.152961133,11.24779975,11.4441049,10.55605421,3.154765817,54.42739924,52.94316385,53.67453838,53.79776364,54.31756141,54.14333729,54.42987502,54.33106643,55.19674962,54.88400867,55.65114145,55.55059998,56.35680554,56.35680554,26.62144058,632.5520437
52628,53.11297829,10.12439476,7.107860007,3.830380762,11.73370153,10.69874376,9.617897464,3.154528466,54.48307431,52.97353373,53.77026037,53.84895593,54.30481507,54.21162691,54.47902316,54.37098916,55.32866323,54.96419499,55.7675044,55.62423445,56.49403386,56.49403386,26.60844159,632.6705378
52638,52.43400463,10.32187787,7.152496574,3.849752974,11.39965126,9.633187981,10.07703796,3.154121032,54.530928,53.03529483,53.78143177,53.89209907,54.40129022,54.21942114,54.55365864,54.43865208,55.32722935,55.01046085,55.79980632,55.68330393,56.54813059,56.54813059,26.6044065,631.6685345
52648,52.54518061,10.12188502,6.877645964,3.036204165,11.35797451,10.3812023,10.77026864,3.153877173,54.60821542,53.07604009,53.80248202,53.9655875,54.52944703,54.25012854,54.5476766,54.48083394,55.36916549,55.07872812,55.8714179,55.74210022,56.52147193,56.52147193,26.59536482,631.5365278
52658,52.06893228,9.787335214,6.830484075,3.211590571,11.18046046,10.97611472,10.08294724,3.153587958,54.64417426,53.12031671,53.89136161,53.98602578,54.49676497,54.31310509,54.58926291,54.51049368,55.38891286,55.10162843,55.94693193,55.83988429,56.62191402,56.62191402,26.57168529,630.8276416
52668,52.44752245,9.922221275,7.120471291,3.801942398,10.77218199,10.03228028,10.79842522,3.153262045,54.71648223,53.18200267,53.92534225,54.03652423,54.53036948,54.37394766,54.66922448,54.59721027,55.47896154,55.16019443,55.92473889,55.86761692,56.67975863,56.67975863,26.53875115,629.7320902
52678,52.15403203,9.508308302,6.911818859,3.325810362,11.75021665,10.24395991,10.41391795,3.152956794,54.75484007,53.23355122,54.01823542,54.09785853,54.61396631,54.44967453,54.72311069,54.61891734,55.52720046,55.20371726,56.02311407,55.90010367,56.68233379,56.68233379,26.51104199,628.285214
52688,52.88681661,9.854490413,7.020492241,4.097634724,11.14669163,10.40961846,10.35788913,3.15271758,54.80084811,53.28531092,54.05244692,54.15423857,54.67685598,54.51572084,54.78802173,54.7029603,55.61300094,55.28030926,56.10034714,55.95103057,56.77909724,56.77909724,26.51098756,627.7405565
52698,51.9505163,9.353197341,6.935938792,3.572717574,11.81622401,10.57812603,9.694312547,3.152463967,54.87327834,53.35637924,54.07984542,54.20666156,54.72723816,54.57623493,54.85077677,54.76234289,55.68787317,55.33877314,56.18059666,56.0036267,56.86583741,56.86583741,26.52706035,627.2582645
52708,51.75142322,9.986710174,6.289339361,2.771228473,11.48286272,10.18458211,11.03670038,3.152076718,54.92753474,53.41972449,54.13469282,54.28817422,54.79905089,54.63500122,54.94306019,54.84022973,55.73738248,55.41078668,56.26449493,56.13947631,56.93891748,56.93891748,26.53374449,626.251064
